,location,company,job_title,salary,city
19865,"Seattle, WA","Pacific Market Research, LLC",Research Analyst,"$50,000 - $85,000 a year",Seattle
19868,"Seattle, WA",University of Washington,SERVICE DESK ANALYST,"$3,635 - $4,888 a month",Seattle
19897,"Seattle, WA",King County,Wastewater Capital Project Manager III (Biosolids Program),"$88,525 - $112,216 a year",Seattle
19901,"Seattle, WA",University of Washington,"PROGRAM COORDINATOR, POST-ACUTE CARE","$2,940 - $3,917 a month",Seattle
19974,"Seattle, WA",University of Washington Medical Center,RECORDS ANALYST 2,"$3,449 - $4,632 a month",Seattle
20036,"Seattle, WA 98105 (Ravenna - U District area)",Curacloud corp,Lab Technician,"$60,000 - $70,000 a year",Seattle
20048,"Seattle, WA",Liberty Mutual,"Analyst/Senior Analyst, Product Research","$73,300 - $114,900 a year",Seattle
20093,"Seattle, WA",University of Washington Medical Center,PATIENT FINANCIAL SERVICES SPECIALIST 2,"$2,675 - $3,717 a month",Seattle
20105,"Redmond, WA",Cloudious LLC,Data Scientist,"$100,000 - $150,000 a year",Seattle
20125,"Redmond, WA",Cloudious LLC,Data Scientist,"$100,000 - $150,000 a year",Seattle
20166,"Seattle, WA",NxT Level,Data Scientist - Seattle,"$100,000 - $120,000 a year",Seattle
20231,"Auburn, WA",Green River Community College,Institutional Research Analyst,"$55,000 a year",Seattle
20257,"Seattle, WA",University of Washington Medical Center,SUPPLY CHAIN TECHNICIAN LEAD,"$2,910 - $3,879 a month",Seattle
20270,"Seattle, WA",University of Washington Medical Center,SUPPLY CHAIN TECHNICIAN LEAD,"$2,910 - $3,879 a month",Seattle
20291,"Seattle, WA",All-In Analytics,Senior Data Scientist,"$150,000 - $275,000 a year",Seattle
20321,"Seattle, WA",Anchor Point Technology Resources,District Sales Manager,"$100,000 a year",Seattle
20347,"Seattle, WA",Smith Hanley Associates,Senior Data Scientist,"$160,000 - $180,000 a year",Seattle
20360,"Seattle, WA",All-In Analytics,Sr. Business Intelligence Scientist,"$90,000 - $100,000 a year",Seattle
20361,"Seattle, WA",King County,Environmental Scientist III,"$82,326 - $104,374 a year",Seattle
20362,"Seattle, WA",State of Washington,Forms & Records Analyst 2 - Forensic Laboratory Services Bur...,"$2,984 - $3,883 a month",Seattle
20365,"Bellevue, WA",State of Washington,Site Hazard Assessment and WARM Ranking Specialist (Natural...,"$55,476 - $72,744 a year",Seattle
20366,"Seattle, WA",Analytic Recruiting,Sr Business Analyst - Microstrategy,"$150,000 a year",Seattle
20375,"Seattle, WA",State of Washington,Quality Process Manager (WMS Band 2),"$4,706 - $8,500 a month",Seattle
20382,"Seattle, WA",Liberty Mutual,"Principal Analyst/Asst Dir Data Science, Analytical Visionin...","$100,401 - $144,500 a year",Seattle
20995,"Austin, TX",University of Texas at Austin,Engineering Scientist - R and D Data Analysis Developer,"$6,250 - $10,833 a month",Austin
20996,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Assistant,"$2,666 a month",Austin
20998,"Austin, TX 78758 (North Austin area)","Applied Research Laboratories, The University of T...",Engineering Scientist - R and D Algorithm and System Develop...,"$75,000 - $130,000 a year",Austin
21006,"Austin, TX",University of Texas at Austin,Engineering Scientist - GPS Data Analyst,"$6,250 - $10,833 a month",Austin
21011,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate I (Exempt),"$2,916 a month",Austin
21038,"Austin, TX",University of Texas at Austin,Engineering Scientist - HF Geo Algortihm Developer,"$6,250 - $10,833 a month",Austin
21097,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - R and D Cyber Decision Sup...,"$5,400 - $6,500 a month",Austin
21112,"Austin, TX",CareerMonks,Big Data Engineer,"$100,000 - $130,000 a year",Austin
21128,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - GNSS Analyst,"$5,400 - $6,500 a month",Austin
21146,"Austin, TX 78746",Gibson - An Education Consulting & Research Group,Senior Research Scientist (Principal Investigator level),"$110,000 - $150,000 a year",Austin
21185,"Austin, TX",Averity,Director of Data Science (NYC),"$160,000 - $200,000 a year",Austin
21205,"Austin, TX",Austin Fraser,Senior Data Engineer,"$120,000 - $150,000 a year",Austin
21214,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Research Software Engineer...,"$5,000 a month",Austin
21215,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Research Software Engineer...,"$5,000 a month",Austin
21217,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Research Software Engineer Ja...,"$6,250 a month",Austin
21218,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate I (Exempt) - Data...,"$4,166 a month",Austin
21222,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate I (Exempt) - Colla...,"$4,166 a month",Austin
21223,"Austin, TX 78759 (Arboretum area)","Signature Science, LLC",Computer Scientist/Software Engineer,"$79,000 a year",Austin
21230,"Austin, TX",University of Texas at Austin,Social Science/Humanities Research Associate V (Exempt) - Su...,"$5,666 a month",Austin
21233,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21244,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21245,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21247,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21251,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21254,"Austin, TX",CyberCoders,Data Engineer,"$140,000 - $160,000 a year",Austin
21260,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21262,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21265,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21275,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21276,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21278,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21282,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21290,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21291,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21293,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21297,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21305,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21306,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
