,location,company,job_title,salary,city
21830,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21831,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21833,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21837,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21845,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21847,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21850,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21860,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21862,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21865,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21875,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21876,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21878,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21882,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21890,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21891,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21893,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
